cdd_event_id,customer_id,event_date,event_type,new_risk_score,previous_risk_level,new_risk_level,summary,edd_id,triggered_by,reviewer
CDD_495C74BD54,CUST_D4FF0B1A,2022-01-26,initial_risk_assessment,0.3,,low,Initial onboarding risk assessment - Classified as low risk,,Onboarding System,Sarah Chen
CDD_091CBA8523,CUST_D4FF0B1A,2022-07-25,periodic_review,0.284,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Maria Garcia
CDD_EE5EDDE5E1,CUST_D4FF0B1A,2023-01-29,periodic_review,0.232,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Michael Rodriguez
CDD_F26A6C8B78,CUST_D4FF0B1A,2023-07-14,periodic_review,0.216,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Lisa Anderson
CDD_7494079815,CUST_D4FF0B1A,2024-01-13,periodic_review,0.33,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,James Wilson
CDD_0DCD7AB855,CUST_D4FF0B1A,2024-07-09,periodic_review,0.23,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,William Taylor
CDD_AA79A528C0,CUST_D4FF0B1A,2024-12-25,risk_level_change,0.385,low,low,Risk level maintained during periodic CDD review,,Risk Model,William Taylor
CDD_9754C92CFB,CUST_D4FF0B1A,2025-06-29,periodic_review,0.346,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Emily Thompson
CDD_3DA5B7D8A3,CUST_CA502A85,2023-07-13,initial_risk_assessment,0.6,,medium,Initial onboarding risk assessment - Classified as medium risk,,Onboarding System,Emily Thompson
CDD_F32FFF72D8,CUST_CA502A85,2023-10-11,periodic_review,0.675,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Lisa Anderson
CDD_BA0DB314E6,CUST_CA502A85,2024-01-15,periodic_review,0.662,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Jessica Martinez
CDD_CCAA70ADE9,CUST_CA502A85,2024-04-03,periodic_review,0.671,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Emily Thompson
CDD_A3C3F64280,CUST_CA502A85,2024-07-06,periodic_review,0.611,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,James Wilson
CDD_D960711E87,CUST_CA502A85,2024-10-18,periodic_review,0.664,medium,medium,Routine CDD review - Risk level maintained at medium - EDD investigation initiated,EDD_B9C1F18BA8,Automated CDD Schedule,Jessica Martinez
CDD_8E6B3515E8,CUST_CA502A85,2025-01-21,periodic_review,0.554,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Emily Thompson
CDD_359E3BF961,CUST_CA502A85,2025-05-06,periodic_review,0.602,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Sarah Chen
CDD_1906FDAA96,CUST_CA502A85,2025-08-18,periodic_review,0.623,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Lisa Anderson
CDD_C122D4C16C,CUST_7E31BCE7,2022-12-19,initial_risk_assessment,0.3,,low,Initial onboarding risk assessment - Classified as low risk,,Onboarding System,Sarah Chen
CDD_EECD1C4328,CUST_7E31BCE7,2023-12-19,periodic_review,0.275,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Jessica Martinez
CDD_D4166E1227,CUST_7E31BCE7,2024-12-04,periodic_review,0.382,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Jessica Martinez
CDD_8C1E755646,CUST_7AA6313C,2022-08-27,initial_risk_assessment,0.6,,medium,Initial onboarding risk assessment - Classified as medium risk,,Onboarding System,Lisa Anderson
CDD_152947B3A8,CUST_7AA6313C,2022-09-26,periodic_review,0.584,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Lisa Anderson
CDD_D746096BED,CUST_7AA6313C,2022-10-21,periodic_review,0.529,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Jessica Martinez
CDD_8DDAA95B66,CUST_7AA6313C,2022-11-30,periodic_review,0.513,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Jessica Martinez
CDD_38DB8CF6C1,CUST_7AA6313C,2022-12-30,risk_level_change,0.687,medium,medium,Risk level maintained during periodic CDD review,,Risk Model,Maria Garcia
CDD_9212157967,CUST_7AA6313C,2023-01-21,periodic_review,0.59,medium,medium,Routine CDD review - Risk level maintained at medium - EDD investigation initiated,EDD_5F74D1E109,Automated CDD Schedule,Maria Garcia
