edd_id,customer_id,investigation_start,investigation_end,edd_reason,steps_taken,outcome,notes,senior_reviewer,regulatory_filing
EDD_B9C1F18BA8,CUST_CA502A85,2024-10-18,2024-11-14,Large value transactions,"Source of wealth verification, Regulatory filing assessment, Enhanced document collection",cleared,EDD investigation completed. Customer cleared.,Maria Garcia,No filing required
EDD_5F74D1E109,CUST_7AA6313C,2023-01-21,2023-01-31,PEP association identified,"Transaction pattern analysis, Management review, Source of wealth verification, Enhanced document collection",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,William Taylor,No filing required
EDD_31EEA61B91,CUST_7AA6313C,2023-04-28,2023-06-04,Sanctions screening alert,"Enhanced document collection, External database screening, Beneficial ownership analysis, Source of wealth verification, Management review",cleared,EDD investigation completed. Customer cleared.,Robert Johnson,No filing required
EDD_19E8F8AB29,CUST_CC863572,2025-08-26,2025-09-14,Sanctions screening alert,"Source of wealth verification, Regulatory filing assessment, Beneficial ownership analysis",cleared,EDD investigation completed. Customer cleared.,James Wilson,No filing required
EDD_4DA4C1840E,CUST_BE3A428D,2023-12-28,2024-01-05,Source of funds verification required,"External database screening, Regulatory filing assessment, Beneficial ownership analysis",cleared,EDD investigation completed. Customer cleared.,Michael Rodriguez,No filing required
EDD_8D8EC22C1F,CUST_BE3A428D,2024-02-02,2024-02-21,Source of funds verification required,"Regulatory filing assessment, Management review, Enhanced document collection, Transaction pattern analysis, Beneficial ownership analysis",cleared,EDD investigation completed. Customer cleared.,Sarah Chen,SAR Filed
EDD_F14DFB51D7,CUST_BE3A428D,2024-03-05,2024-03-31,Large value transactions,"Regulatory filing assessment, Source of wealth verification, Beneficial ownership analysis",cleared,EDD investigation completed. Customer cleared.,Lisa Anderson,No filing required
EDD_6802628B09,CUST_BE3A428D,2024-03-25,2024-04-21,Geographic risk factors,"Beneficial ownership analysis, Management review, External database screening",restrictions_imposed,EDD investigation completed. Customer restrictions imposed.,Emily Thompson,No filing required
EDD_4079D327CE,CUST_BE3A428D,2024-04-13,2024-05-05,Sanctions screening alert,"External database screening, Transaction pattern analysis, Beneficial ownership analysis, Source of wealth verification, Enhanced document collection, Regulatory filing assessment",cleared,EDD investigation completed. Customer cleared.,Maria Garcia,No filing required
EDD_2984E20957,CUST_BE3A428D,2024-04-28,2024-05-30,Source of funds verification required,"Transaction pattern analysis, Enhanced document collection, Management review, Beneficial ownership analysis, Regulatory filing assessment, Source of wealth verification",restrictions_imposed,EDD investigation completed. Customer restrictions imposed.,William Taylor,No filing required
EDD_D35FAFFE70,CUST_BE3A428D,2024-06-03,2024-06-17,Elevated risk score,"Enhanced document collection, Regulatory filing assessment, Source of wealth verification, Management review",cleared,EDD investigation completed. Customer cleared.,Robert Johnson,No filing required
EDD_A37ED19766,CUST_BE3A428D,2024-06-20,2024-07-17,Unusual transaction patterns detected,"Beneficial ownership analysis, Enhanced document collection, Source of wealth verification",cleared,EDD investigation completed. Customer cleared.,Lisa Anderson,No filing required
EDD_28ED4F72F8,CUST_BE3A428D,2024-07-05,2024-08-03,Elevated risk score,"Regulatory filing assessment, External database screening, Enhanced document collection, Source of wealth verification, Management review, Beneficial ownership analysis",cleared,EDD investigation completed. Customer cleared.,David Kim,No filing required
EDD_139F6C4D11,CUST_BE3A428D,2024-08-06,2024-09-03,Sanctions screening alert,"Source of wealth verification, Regulatory filing assessment, External database screening",cleared,EDD investigation completed. Customer cleared.,Emily Thompson,No filing required
EDD_E59D297EFC,CUST_BE3A428D,2024-09-03,2024-10-04,Elevated risk score,"Source of wealth verification, Transaction pattern analysis, Management review, Beneficial ownership analysis",restrictions_imposed,EDD investigation completed. Customer restrictions imposed.,Michael Rodriguez,No filing required
EDD_164FD7B11E,CUST_BE3A428D,2024-10-09,2024-11-15,Source of funds verification required,"Source of wealth verification, Beneficial ownership analysis, Management review, Enhanced document collection",cleared,EDD investigation completed. Customer cleared.,Robert Johnson,No filing required
EDD_BD5F5D35CF,CUST_BE3A428D,2025-01-15,2025-02-11,PEP association identified,"Beneficial ownership analysis, Enhanced document collection, Transaction pattern analysis, Management review, Regulatory filing assessment",cleared,EDD investigation completed. Customer cleared.,Robert Johnson,No filing required
EDD_CF361A12E7,CUST_538B2855,2022-10-27,2022-11-24,Large value transactions,"External database screening, Source of wealth verification, Management review, Beneficial ownership analysis",restrictions_imposed,EDD investigation completed. Customer restrictions imposed.,James Wilson,No filing required
EDD_6BA04D85EB,CUST_538B2855,2022-11-29,2023-01-01,Sanctions screening alert,"Enhanced document collection, Source of wealth verification, External database screening, Transaction pattern analysis, Management review",cleared,EDD investigation completed. Customer cleared.,Sarah Chen,No filing required
EDD_F06C8317D8,CUST_538B2855,2023-01-02,2023-01-13,PEP association identified,"Beneficial ownership analysis, Enhanced document collection, Transaction pattern analysis, Management review, Source of wealth verification, External database screening",cleared,EDD investigation completed. Customer cleared.,Lisa Anderson,No filing required
EDD_410AF2FF7B,CUST_538B2855,2023-01-21,2023-01-29,Large value transactions,"Beneficial ownership analysis, Regulatory filing assessment, Management review",restrictions_imposed,EDD investigation completed. Customer restrictions imposed.,William Taylor,No filing required
EDD_FAEB7C2F68,CUST_538B2855,2023-03-03,2023-04-08,Source of funds verification required,"Enhanced document collection, Beneficial ownership analysis, Transaction pattern analysis, External database screening, Source of wealth verification, Management review",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,Maria Garcia,No filing required
EDD_18098FC223,CUST_538B2855,2023-03-29,2023-04-30,PEP association identified,"Beneficial ownership analysis, External database screening, Enhanced document collection, Management review",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,David Kim,No filing required
EDD_7E79198881,CUST_538B2855,2023-05-12,2023-05-20,Source of funds verification required,"Beneficial ownership analysis, Enhanced document collection, Source of wealth verification",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,Michael Rodriguez,No filing required
EDD_3310EBCF53,CUST_538B2855,2023-06-04,2023-07-04,PEP association identified,"Regulatory filing assessment, Beneficial ownership analysis, Source of wealth verification, External database screening, Enhanced document collection",cleared,EDD investigation completed. Customer cleared.,Michael Rodriguez,No filing required
EDD_2C96B8BF1F,CUST_538B2855,2023-07-14,2023-08-28,Source of funds verification required,"Beneficial ownership analysis, Management review, External database screening, Transaction pattern analysis",cleared,EDD investigation completed. Customer cleared.,James Wilson,No filing required
EDD_BA55586C6E,CUST_538B2855,2023-08-28,2023-09-19,Unusual transaction patterns detected,"Transaction pattern analysis, Regulatory filing assessment, Enhanced document collection, Beneficial ownership analysis, Source of wealth verification, Management review",cleared,EDD investigation completed. Customer cleared.,Lisa Anderson,No filing required
EDD_AF878050C0,CUST_538B2855,2023-10-08,2023-10-26,PEP association identified,"Regulatory filing assessment, Source of wealth verification, Management review, External database screening, Enhanced document collection, Beneficial ownership analysis",cleared,EDD investigation completed. Customer cleared.,Sarah Chen,SAR Filed
