kyc_event_id,customer_id,kyc_check_date,document_type,document_verified,reviewer,result,expiry_date,notes
KYC_520AFC37B9,CUST_D4FF0B1A,2022-01-26,Bank Statement,True,Robert Johnson,approved,2024-12-18,
KYC_15E435B4BE,CUST_D4FF0B1A,2022-01-26,Passport,True,Michael Rodriguez,approved,2026-09-29,
KYC_ACAF758BAC,CUST_D4FF0B1A,2023-06-23,Bank Statement,True,Jessica Martinez,approved,2028-03-08,
KYC_BDC890C933,CUST_D4FF0B1A,2024-02-02,Driver License,True,William Taylor,approved,2025-04-16,
KYC_CD664AAC62,CUST_D4FF0B1A,2025-05-08,Bank Statement,True,William Taylor,approved,2027-05-15,
KYC_11CED12E54,CUST_CA502A85,2023-07-13,Utility Bill,True,James Wilson,approved,2027-09-03,
KYC_81E93483B6,CUST_CA502A85,2023-07-13,Bank Statement,True,Sarah Chen,approved,2025-04-06,
KYC_5AD4739D4F,CUST_CA502A85,2024-09-05,Bank Statement,True,Michael Rodriguez,approved,2027-03-12,
KYC_0B31BBFAB8,CUST_7E31BCE7,2022-12-19,Driver License,True,Maria Garcia,approved,2026-12-14,
KYC_3D74904370,CUST_7E31BCE7,2022-12-19,Bank Statement,True,Emily Thompson,approved,2025-07-01,
KYC_4081302FCB,CUST_7E31BCE7,2022-12-19,Passport,True,Robert Johnson,approved,2026-11-02,
KYC_C5B0E1A02E,CUST_7E31BCE7,2024-05-21,Passport,True,Robert Johnson,approved,2028-04-28,
KYC_A15DCB98BB,CUST_7E31BCE7,2025-08-17,Passport,True,David Kim,approved,2027-11-06,
KYC_03C25607A8,CUST_7AA6313C,2022-08-27,Driver License,True,Lisa Anderson,approved,2024-03-30,
KYC_B973160A6E,CUST_7AA6313C,2022-08-27,Utility Bill,True,Maria Garcia,approved,2024-07-01,
KYC_073255B496,CUST_7AA6313C,2022-08-27,Bank Statement,True,Sarah Chen,approved,2026-07-29,
KYC_4CB161F308,CUST_7AA6313C,2023-02-26,Passport,True,Emily Thompson,approved,2025-04-14,
KYC_E2B2AC7F77,CUST_7AA6313C,2024-01-05,Proof of Address,True,James Wilson,approved,2027-01-23,
KYC_C82CEA5350,CUST_7AA6313C,2024-07-06,Driver License,True,Maria Garcia,approved,2026-07-21,
KYC_199D51A8B2,CUST_7AA6313C,2025-02-12,Driver License,True,James Wilson,approved,2028-01-25,
KYC_713EAB980B,CUST_CC863572,2023-12-06,Passport,True,Lisa Anderson,approved,2025-06-07,
KYC_F89712896D,CUST_CC863572,2023-12-06,Driver License,True,Maria Garcia,approved,2027-01-24,
KYC_CA5A3F7C92,CUST_CC863572,2023-12-06,Bank Statement,True,Lisa Anderson,approved,2027-02-21,
KYC_C89009F171,CUST_CC863572,2023-12-06,Utility Bill,True,Michael Rodriguez,approved,2027-02-11,
KYC_57A30BD4F4,CUST_CC863572,2025-02-03,Proof of Address,True,Maria Garcia,approved,2026-02-24,
KYC_63BBC814E0,CUST_3E6F7D38,2023-10-21,Utility Bill,True,Michael Rodriguez,approved,2025-06-26,
KYC_284647FF15,CUST_3E6F7D38,2023-10-21,Passport,True,Sarah Chen,approved,2026-12-16,
KYC_A90DCF23D3,CUST_3E6F7D38,2023-10-21,Driver License,True,Robert Johnson,approved,2028-05-21,
KYC_6422DE93FE,CUST_3E6F7D38,2023-10-21,Bank Statement,True,William Taylor,rejected,2025-07-16,
KYC_479F0A9BCC,CUST_3E6F7D38,2024-12-02,Bank Statement,True,Lisa Anderson,approved,2028-07-11,
